Population Name Reported,count
CD27- CD28+ Effector CD8+ T cells,401
CD27+ CD28- Central Memory CD8+ T cells,401
CD27+ CD28+ Central Memory CD8+ T cells,401
CD27- CD28+ Central Memory CD8+ T cells,401
CD27+ CD28- Effector Memory CD8+ T cells,401
CD27+ CD28+ Effector Memory CD8+ T cells,401
CD27- CD28+ Effector Memory CD8+ T cells,401
CD27+ CD28- CD8+ T cells,401
CD27+ CD28+ CD8+ T cells,401
CD57+ CD8+ T cells,401
Tc1 CD8+ T cells,401
EOMES- t-Bet+ Effector Memory CD4+ T cells,399
Ki67+ HLA-DR+ Effector Memory CD4+ T cells,399
Ki67- HLA-DR+ Central Memory CD4+ T cells,399
EOMES+ t-Bet- Central Memory CD4+ T cells,399
Ki67+ HLA-DR- Effector Memory CD4+ T cells,399
EOMES- t-Bet+ Central Memory CD8+ T cells,399
EOMES+ t-Bet+ Central Memory CD8+ T cells,399
EOMES+ t-Bet- Central Memory CD8+ T cells,399
Ki67- HLA-DR+ Central Memory CD8+ T cells,399
Ki67+ HLA-DR+ Central Memory CD8+ T cells,399
Ki67+ HLA-DR- Central Memory CD8+ T cells,399
Ki67- HLA-DR+ Naive CD8+ T cells,399
Ki67+ HLA-DR+ Naive CD8+ T cells,399
Ki67+ HLA-DR- Naive CD8+ T cells,399
Ki67+ HLA-DR+ Effector Memory CD8+ T cells,399
Ki67- HLA-DR+ Effector Memory CD8+ T cells,399
EOMES+ t-Bet- Effector Memory CD8+ T cells,399
EOMES+ t-Bet+ Effector Memory CD8+ T cells,399
EOMES- t-Bet+ Effector Memory CD8+ T cells,399
Ki67+ HLA-DR- Effector CD8+ T cells,399
Ki67+ HLA-DR+ Effector CD8+ T cells,399
EOMES- t-Bet+ Effector CD8+ T cells,399
EOMES+ t-Bet+ Effector CD8+ T cells,399
EOMES+ t-Bet- Effector CD8+ T cells,399
Ki67- HLA-DR+ Effector CD8+ T cells,399
Ki67+ HLA-DR+ Central Memory CD4+ T cells,399
EOMES+ t-Bet+ Central Memory CD4+ T cells,399
Ki67- HLA-DR+ Effector Memory CD4+ T cells,399
EOMES+ t-Bet- Effector Memory CD4+ T cells,399
EOMES- t-Bet+ Central Memory CD4+ T cells,399
Ki67+ HLA-DR- Effector CD4+ T cells,399
Ki67+ HLA-DR+ Effector CD4+ T cells,399
Ki67- HLA-DR+ Effector CD4+ T cells,399
EOMES+ t-Bet- Effector CD4+ T cells,399
EOMES+ t-Bet+ Effector Memory CD4+ T cells,399
Ki67+ HLA-DR- Effector Memory CD8+ T cells,399
