Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List
CD45+CD3+CD4+CD8-CD196+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD25+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD25highFOXp3+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD38+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+IgA+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD40L+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27+CD23+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD14+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD14+CD40+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD14+CD83+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD14+CD86+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD14+TNFa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+CD27-CD10+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+CD27-CD10+CD21+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+CD27-CD10+CD38+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+CD80+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+CD86+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgA+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27+CD38+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+CD86+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27+CD80+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27+CD86+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-CD21+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-CD38+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-CD80+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-CD86+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-IgA+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD+CD27-IgG+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+CD23+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+CD38+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD19+CD20+IgD-CD27+CD80+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD39+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c-CD123+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD27+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD127+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD45RA-CD27+CCR7-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD69+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD45RA-CD27+CCR7+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD45RA-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD45RA+CD27-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD45RA+CD27+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD45RA+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD39+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-HLA-DR+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-IL17a+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD38+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-IL2+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-IL21+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-IL22+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-IL23r+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-IL4+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD25+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4- CD8+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4- CD8-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD45RA-CD27-CCR7-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD45RA-CD27+CCR7+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD69+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD45RA+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c-CD123+TNFa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+IFNa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD4+CD8-CD45RA-,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+TNFa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123-TNFa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-HLA-DR+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123-IFNa+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+CD11c+CD123+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3-CD19-CD20-CD16-CD56-CD14-HLADR+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-Perforin+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-IL23r+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-IL2+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-IL17a+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-IFNg+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD3+CD8+CD4-CD103+,percentage,245,1,56,5,"-7.0, 0.0, 1.0, 7.0, 70.0",80
CD45+CD14+HLADR+,percentage,244,1,56,5,"0.0, 1.0, 7.0, 70.0, -7.0",80
"ly/CD3+/CD4+,Freq. of,ly",cells/ul,210,1,18,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180
"ly/CD3+/CD8+,Freq. of,ly",cells/ul,210,1,18,9,"-7.0, 0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56-, CD14-, CD16-, HLA-DR+",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56-, CD14+",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56-, CD14+, CD16-",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56-, CD14-, CD16-, HLA-DR+, CD11c-, CD123+",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56-, CD14-, CD16-, HLA-DR+, CD11c+, CD123-",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56+",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56+, CD16+",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56+, CD16-",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, CD19-, CD20-, viable[live/dead stain], CD56-, CD14+, CD16+",percentile,207,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO-, HLA-DR+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD38+, HLA-DR+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO-, FoxP3+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD127+, CD27-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD127-, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD127-, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD38+, HLA-DR+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD127+, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, 2B4+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, iNKT+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD127+, CD27-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, PD-1+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD127+, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, 2B4+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], iNKT+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, IgD+, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, 2B4+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD57+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20-, CD38+, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, IgD-, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, IgD+, CD27-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD38-, CD24+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5+, PD-1+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD38+, CD24+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD27-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD27+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD24dim",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+, CD21-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD19+, CD20+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO-, CD39+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, HLA-DR-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3-, viable[live/dead stain], CD56+, CD16+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, CD27+, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+, CD45RO+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+, CD45RO-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, CD27-, CD28+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CCR4+, HLA-DR+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, CCR4-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, CD39+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, CD39-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, FoxP3+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, FoxP3-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD127-, CD25+, CD45RO+, HLA-DR+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, iNKT+",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-, CD27+, CD28-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RO+, CXCR5-, CXCR3-, CCR6-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+, CXCR5-, CXCR3-, CCR6-",percentile,203,1,53,7,"0.0, 2.0, 28.0, 7.0, 3.0, 35.0, 4.0",404
