Experiment,Timepoint,Treatment,Tissue,Mouse,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,Target
260223.JM1L2,14dpc,Naive,Lung,N1,13.27631847,18.81574282,37.46859296,0.06281407035,3.629856851,0.167981303,3.206251826,0.01460706982,5.966988022,47.61904762,6.419807187,0.02921413964,3.753478585,2.324980625,10.53991217,2.841642986,0.3874967709,11.77990183,0,2.738310514,0,0.03199813829,4.840445647,2.148723468,13.70296031,0.001939281108,1.980006012,0.1386585993,0.3587670051,0.4702756688,52.99466133,15.84918252,0,0.5588922256,31.35635636,19.9,NA
260223.JM1L2,14dpc,Naive,Lung,N2,9.521050112,14.80484522,23.63636364,0,2.037576078,0.06615506748,2.646202699,0.03969304049,6.615506748,40.47367028,7.793066949,0.0132310135,3.335768814,1.283987915,7.930513595,0.3776435045,0.2643504532,3.814199396,0,1.321752266,0,0.03401274848,5.396689426,0.4598019702,1.187926734,0.002519462851,0.7180469124,0.09447985689,0.006298657126,0.3955556675,70.44732594,11.23782742,0.02083007863,0.5624121231,15.7891996,2.19,NA
260223.JM1L2,14dpc,Naive,Lung,N3,2.330393959,15.2637486,37.86764706,0,3.843605036,0.1988071571,11.2657389,1.259111995,28.82703777,33.26706428,20.60967528,0.2650762094,0.8323938659,14.6567718,2.968460111,1.113172542,0.5565862709,38.7755102,0,0.5565862709,0,0.08648247958,7.571849953,0.3428412583,1.490278443,0.001544329992,0.6995814866,0.08957113956,0.001544329992,0.3119546585,55.80595875,25.97402597,0,0.4583651642,25.01909855,1.8,NA
260223.JM1L2,14dpc,Naive,Lung,N4,11.69569931,18.37616387,25.69922983,0.04053506283,3.193539506,0.05506102597,2.321739928,0.03670735065,8.424336973,36.02826466,8.94741672,0.02753051299,3.667450172,0.6145741879,8.779631255,0.05853087504,0.1170617501,4.653204565,0,0.6731050629,0,0.06010453897,4.527159739,0.6300243638,0.5827993689,0.002146590677,0.798531732,0.1105494199,0,0.4132187054,70.94913666,8.737969071,0,0.6380447713,12.68879997,1.19,NA
260109.JM1J,Pre,prime,SPL,C2.1,11.26581173,34.94228874,25.84175367,0.352479103,3.067130673,2.63437855,11.88265205,3.124830956,10.12820282,45.81041851,10.59160822,1.240556086,5.801408557,6.292237123,4.513463357,1.897825554,28.1487447,8.106026121,0.3291431773,62.18004832,6135,0.07170759552,0.2679385793,1.816253857,1.524751309,0.4816394022,1.934683115,0.5318144053,0.7109818253,0.6630413365,33.89960667,5.158088674,0.4414028091,0.7731002417,8.062377186,,1
260109.JM1J,Pre,prime,SPL,C2.2,15.26152422,27.25526773,23.91773432,0.1281186784,2.402728651,3.028044467,17.43431026,5.14780192,9.783981809,48.14047499,9.699343103,1.819100556,6.19695772,8.972404567,9.398624895,0.9053293096,25.11588837,3.571539682,0.3795538686,68.76147217,5642,0.08116601438,0.3771038578,1.649540188,1.28670304,0.3946480557,1.57955619,0.3454857429,0.7860186238,0.4804411113,35.86590557,9.177678522,0.3672677626,0.6446491342,4.283349087,,1
260109.JM1J,Pre,prime,SPL,C2.3,17.25709339,17.4982238,16.40359336,0.2283916155,1.371485166,3.00456444,19.9715799,3.717219997,7.253584808,51.85807174,7.057658356,1.696593894,8.285790188,12.73962467,6.228559898,2.840743481,25.49942826,5.56713975,0.5919149795,62.03896774,6937,0.111837082,0.178902176,2.74353825,1.413011371,1.439205771,2.157972665,0.6284798145,0.964734164,0.7977216446,44.9083007,5.215694213,0.3264355891,0.2372351665,2.262590861,,1
260109.JM1J,Pre,prime.boost,SPL,C3.2,16.96968525,23.16802045,24.7497072,0.1851222184,2.105407068,3.463440199,16.85351015,3.415590038,10.2046164,47.96408959,9.71358261,1.621209014,10.33910757,7.064587307,4.020344815,1.039679868,28.65477393,8.457683533,2.086839448,58.6166274,15191,0.07404686412,0.3536076096,1.333423556,0.7261619364,0.5150413734,2.464619906,0.5133013688,1.050382801,0.7222952595,40.92510379,4.09257729,0.3024352056,0.6821519737,5.006573951,,1
260109.JM1J,Pre,prime.boost,SPL,C3.3,15.74106569,20.31787429,17.67277463,0.1860292066,1.528645802,3.797303227,17.24914911,2.831967553,8.331060328,54.13706818,7.498547253,1.923555851,9.063298039,7.742373998,3.925768779,5.396387304,30.59051307,3.639471896,0.9824720397,59.01629215,5276,0.09800480877,0.2473454698,1.659174744,1.303183943,0.9038843506,1.562663341,0.4679962964,0.6152835232,0.6367512433,41.20773404,4.888810287,0.4018868557,0.3463910987,3.692907215,,1
260109.JM1J,Pre,prime.boost,SPL,C3.5,11.77856541,24.43120182,21.04079095,0.0828843763,1.946746808,4.140426102,7.277808618,5.48611244,9.632281158,45.58105702,9.107788901,2.40807029,5.664831374,1.6,4,1.802985075,31.92835821,6.208955224,2.527363184,68.57313433,7364,0.0640323228,0.6700847301,0.9562009893,0.9456040909,0.5079747298,1.6118559,0.274842963,0.6013176229,0.4250032693,8.502679554,24.78978609,0.2181153858,0.2806325346,6.570552339,,1
