Experiment,Timepoint,Treatment,Tissue,Mouse,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,Target
C57BL/6,4.50E+06,Intranasal,Spleen,3,84.33,14.83,,,,,,,,,,,10.99,,,1.02,,,,,,,,0.033,0.39,0.19,53.86,,,0.71,,1.17,0.09,,,,Yes
BALB/c,PBS,Intramuscular ,Spleen,1,79.37,17.2,,,,,,,,,,,12.86,,,0.54,,,,,,,,0.233,0.1,0.13,63.04,,,0.14,,1.49,0.05,,,,no
BALB/c,PBS,Intramuscular ,Spleen,2,81.12,15.4,,,,,,,,,,,12.46,,,0.63,,,,,,,,0.2,0.09,0.1,62.25,,,0.14,,1.66,0.05,,,,no
BALB/c,PBS,Intramuscular ,Spleen,3,81.42,15.28,,,,,,,,,,,11.09,,,0.39,,,,,,,,0.233,0.21,0.17,54.53,,,0.18,,1.95,0.09,,,,no
BALB/c,4.50E+02,Intramuscular ,Spleen,1,81.21,15.82,,,,,,,,,,,14.54,,,0.6,,,,,,,,0.233,0.07,0.11,65.45,,,0.14,,1.39,0.05,,,,no
BALB/c,4.50E+02,Intramuscular ,Spleen,2,83.34,13.56,,,,,,,,,,,10.51,,,0.54,,,,,,,,0.214,0.23,0.21,57.09,,,0.18,,1.96,0.13,,,,no
BALB/c,4.50E+02,Intramuscular ,Spleen,3,80.66,16.3,,,,,,,,,,,11.77,,,0.61,,,,,,,,0.17,0.29,0.12,59.94,,,0.19,,1.85,0.08,,,,no
BALB/c,4.50E+04,Intramuscular ,Spleen,1,81.82,15.51,,,,,,,,,,,11.82,,,5.25,,,,,,,,0.252,0.25,0.19,56.47,,,0.25,,2.43,0.11,,,,maybe
BALB/c,4.50E+04,Intramuscular ,Spleen,2,81.49,15.88,,,,,,,,,,,11.85,,,5.06,,,,,,,,0.213,0.27,0.24,52.25,,,0.36,,2.43,0.15,,,,maybe
BALB/c,4.50E+04,Intramuscular ,Spleen,3,80.5,16.48,,,,,,,,,,,9.7,,,3.4,,,,,,,,0.367,0.7,0.21,40.76,,,0.32,,3.21,0.14,,,,maybe
BALB/c,4.50E+06,Intramuscular ,Spleen,1,83.07,14.57,,,,,,,,,,,11.41,,,10.98,,,,,,,,0.199,0.41,0.15,45.3,,,0.37,,2.77,0.14,,,,Yes
BALB/c,4.50E+06,Intramuscular ,Spleen,2,81.75,15.39,,,,,,,,,,,10.94,,,5.51,,,,,,,,0.237,0.48,0.24,52.49,,,0.38,,3.05,0.16,,,,Yes
BALB/c,4.50E+06,Intramuscular ,Spleen,3,82.73,14.73,,,,,,,,,,,9.76,,,6.27,,,,,,,,0.174,0.25,0.22,51.17,,,0.35,,2.5,0.11,,,,Yes
BALB/c,PBS,Intranasal,Spleen,1,79.04,17.62,,,,,,,,,,,11.23,,,0.19,,,,,,,,0.249,0.23,0.22,56.79,,,0.27,,0.03,0.11,,,,no
BALB/c,PBS,Intranasal,Spleen,2,80.38,16.11,,,,,,,,,,,10.09,,,0.2,,,,,,,,0.253,0.56,0.22,46.91,,,0.32,,0.03,0.17,,,,no
BALB/c,PBS,Intranasal,Spleen,3,79.25,17.47,,,,,,,,,,,9.98,,,0.22,,,,,,,,0.264,0.33,0.22,52.45,,,0.24,,0.03,0.13,,,,no
BALB/c,4.50E+02,Intranasal,Spleen,1,80.01,16.84,,,,,,,,,,,10.05,,,0.45,,,,,,,,0.204,0.34,0.24,50.36,,,0.33,,0.02,0.09,,,,no
BALB/c,4.50E+02,Intranasal,Spleen,2,80.06,17.13,,,,,,,,,,,9.78,,,0.25,,,,,,,,0.242,0.16,0.15,53.68,,,0.28,,0.02,0.12,,,,no
BALB/c,4.50E+02,Intranasal,Spleen,3,78.34,17.43,,,,,,,,,,,9.14,,,0.17,,,,,,,,0.28,0.44,0.22,41.49,,,0.38,,0.03,0.13,,,,no
BALB/c,4.50E+04,Intranasal,Spleen,1,81.97,14.9,,,,,,,,,,,11.44,,,0.23,,,,,,,,0.334,0.64,0.33,49.59,,,0.38,,0.02,0.12,,,,maybe
BALB/c,4.50E+04,Intranasal,Spleen,2,77.19,18.49,,,,,,,,,,,8.15,,,0.84,,,,,,,,0.297,0.52,0.31,55.96,,,0.4,,0.01,0.06,,,,maybe
BALB/c,4.50E+04,Intranasal,Spleen,3,80.58,16.5,,,,,,,,,,,9.27,,,0.37,,,,,,,,0.295,0.39,0.3,51.77,,,0.42,,0.03,0.14,,,,maybe
BALB/c,4.50E+06,Intranasal,Spleen,1,81.35,15.7,,,,,,,,,,,10.59,,,5.23,,,,,,,,0.226,0.76,0.26,57.57,,,0.39,,0.03,0.12,,,,Yes
BALB/c,4.50E+06,Intranasal,Spleen,2,81.84,15.69,,,,,,,,,,,7.96,,,4.55,,,,,,,,0.279,0.55,0.27,53.17,,,0.41,,0.03,0.17,,,,Yes
BALB/c,4.50E+06,Intranasal,Spleen,3,80.95,16.48,,,,,,,,,,,8.58,,,1.99,,,,,,,,0.282,0.19,0.22,58.38,,,0.46,,0.02,0.09,,,,Yes
