Generic_Feature,144,167,180,296,301,314,364,369,372,376,387,522,645
Effector Memory CD8+ (TEM),"CD3+, CD8+, CCR7-, CD45RA-",None,"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+",None,None,"Viable/Singlets/Lymphs/CD3+/CD8+/Q4: CD45RAD, CD27D",None,None,None,None,None,None,None
Granulocytes,CD16+ neutrophil,None,"WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",None,None,None,CD16+ granulocyte,CD16+ granulocyte,CD16+ granulocyte,CD16+ granulocyte,Singlet/WBC/Neutro,None,CD16+ granulocyte
Inactive pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",None,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+","Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent","Singlets/WBC/Lymph/Lin1-DR+/pDC/CD40-,Freq. of Parent",None,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-","Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-","Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-","Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-","Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-/CD86-",None,"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-"
Leukocytes (Unspecified),"Singlet/CD45+,Count",None,None,None,None,Viable/Singlets,None,None,None,None,None,"Singlet/CD45+,Count",None
Memory B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+",None,"WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD,Freq. of,CD19+",None,None,None,"CD19+, CD3-, CD14-, CD27+, IgD-","CD19+, CD3-, CD14-, CD27+, IgD-","CD19+, CD3-, CD14-, CD27+, IgD-","CD19+, CD3-, CD14-, CD27+, IgD-","Singlet/WBC/Lymph/CD19/CD27+, IgD-","Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD27+,, IgD-,Freq. of,Q2: CD19+, CD20+","CD19+, CD3-, CD14-, CD27+, IgD-"
Memory CD4+ T cells (Other),"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",None,None,None,None,Viable/Singlets/Lymphs/CD3+/CD4+/CD28+,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-","CD3+, CD4+, CD8-, CXCR5-, CD45RA-","CD3+, CD4+, CD8-, CXCR5-, CD45RA-","CD3+, CD4+, CD8-, CXCR5-, CD45RA-","Singlet/WBC/Lymph/CD3/CD4/CXCR5-, CD45RA-",None,"CD3+, CD4+, CD8-, CXCR5-, CD45RA-"
Memory CD8+ T cells (Other),"CD3+, CD4-, CD8+, CCR6+",None,None,"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8","Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8",Viable/Singlets/Lymphs/CD3+/CD8+/CD28+,"CD3+, CD4-, CD8+, CCR6+","CD3+, CD4-, CD8+, CCR6+","CD3+, CD4-, CD8+, CCR6+","CD3+, CD4-, CD8+, CCR6+",Singlet/WBC/Lymph/CD3/CD8/CCR6+,None,"CD3+, CD4-, CD8+, CCR6+"
Memory T cells,None,None,None,"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent","Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent",None,None,None,None,None,None,None,None
Monocytes (Unspecified),"CD14+, HLADR+",None,"WBC/2-WBC/lymono/monos,Freq. of,2-WBC",None,None,Viable/Singlets/Monocytes,"CD14+, HLA-DR+","CD14+, HLA-DR+","CD14+, HLA-DR+","CD14+, HLA-DR+",Singlet/WBC/Mono/CD14+/HLADR,None,"CD14+, HLA-DR+"
Myeloid DCs (Unspecified),"Lin1-, HLA-DR+, BDCA2-, CD11c+",None,"sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC","Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC","Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC",None,"Lin1-, HLA-DR+, BDCA2-, CD11c+","Lin1-, HLA-DR+, BDCA2-, CD11c+","Lin1-, HLA-DR+, BDCA2-, CD11c+","Lin1-, HLA-DR+, BDCA2-, CD11c+","Singlet/WBC/Lymo/Lin1-DR+/BDCA2-, CD11c+",None,"Lin1-, HLA-DR+, BDCA2-, CD11c+"
