Treatment,Tissue,Target,Mouse_pre,Mouse_peak,Block_ID,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB,target
DPP15.IN,SPL,0.0,R3-4,E4,4,-0.456401813615468,0.6726803403187682,-0.8546143935857864,-0.07530146584861461,-0.3617003008405032,-0.07533698016517412,-0.5568522185269852,-1.3123423562211791,-0.16662698373484922,-0.2348050915200873,0.03787734452752424,-1.303695124457662,-0.3098901101748399,-0.5350743140129428,-0.8308523899216405,-1.1826463224218566,-0.33306228503854296,-0.4763739637940151,-0.5214321058082683,-0.5378876624363619,0.06127319148069267,0.09509575991480057,0.0760593324063771,-0.9654172677111892,0.4047075956242733,0.20268546551100558,-0.7652992102714228,-0.5954345658685399,-0.5374848413373543,-1.183834560978474,-0.7027615388351132,0.37548070253827304,-0.07134986081363245,-0.027224062850692878,-0.4846937268801893,-0.803126893096713,0
DPP15.IN,SPL,0.0,R3-5,E5,1,0.2701705195516324,0.22743773904102896,-0.9152223572922333,-0.05121657916601584,-1.0330806989641461,-0.19775623208830878,-0.38781434893517586,-0.4905885644938428,0.09363493376189695,-0.13879964720385185,0.3795621108053262,-0.332774164541125,0.3641023605632551,-0.06529811235149884,-0.9058665305563216,-1.2010838451416286,-0.28675945238323064,-0.0090540368333923,-0.9652933086811841,-0.49835961261809186,-0.13491417041253143,0.10524446802773557,0.031149202316425102,-0.5191389203243935,-0.42922012278854893,0.3819507923835293,-0.7898637642446921,-0.2859662413462612,-0.6108845373243403,-0.8065507854255604,-0.645485240896002,-0.41086137617782864,-0.33901856870405994,-0.6767724933904813,-0.4277202077128945,-0.706274313024471,0
PBS,Lung,0.0,R1-2,A3,0,-1.6691306524819924,-0.03561650612587512,2.1625318824217814,0.5817393634268977,-0.11336270701738406,2.4670784688797744,-0.18232146386979056,0.4045704813169258,1.7963597296836358,-0.6485061375800357,1.8904177909477293,1.479856587850061,-1.0870683028899593,-0.24954335194494376,-0.3369552132402419,0.5235876580716518,0.8302313029401012,-0.5238935163686211,-3.445974147408412,2.788818628326127,-4.505292528785791,-0.5236053268072595,-1.3656473564874256,0.6631813331420084,1.2049845887028623,0.8651989466334162,1.4474538699923463,-0.8507675592249933,1.1272548346828686,0.823063081482126,0.6034451346718505,0.1635461651500589,2.5224584573459383,0.9369187657198076,0.9046883375207768,0.6566080603438864,1
PBS,Lung,0.0,R1-3,A5,1,-1.6979967845165425,-2.962543225966358,0.1542969243876598,0.23247310148688127,-0.6508185180151316,0.8273407279779338,-0.9858151010357844,-0.013132521746714415,-0.05646645516476784,-0.6917479713744394,1.9514313465225361,2.6133726791587573,-1.737134100225688,-0.8711255407325162,-1.692789880462668,1.1336731931915645,0.7221581780498879,0.06369790551523394,-0.03746298205057638,0.7255220572202165,0.06384802440216429,-1.5381857899925753,-2.1069373152935946,0.908099480467992,2.224516821581376,1.1510416189882087,1.7808933488150278,-0.4685520411851617,1.703973425451036,0.685662110708716,-0.48152720247047565,0.6558296272999253,2.744882813203546,-0.09658904386027427,1.3211356496403193,1.9186423047666483,1
PBS,Lung,0.0,R1-5,A1,2,-1.1800058782437137,-0.7342305029919766,0.959238853387738,0.057956889686616074,-0.39569316932237203,0.8036799619950428,-1.2503028224416637,-0.10803272054010682,-0.2404169053576553,-0.7506090371601435,0.6355766290510726,0.7895551235819835,-0.5335186797009874,-1.218532553646344,-1.410704880937361,0.2059840364454379,0.273395291242105,-0.2813636533428714,0.522004594214002,1.3219962170383224,0.09111825520989801,-0.9236082368445314,-1.7421544486656941,0.6818710603610094,1.231695853171164,0.6458140790666081,1.4863276342677207,-0.8137305550068028,1.6931964781487427,-0.6200701126145504,0.3121254167979324,0.29896172940242083,-0.17132773057721554,0.42285162043445773,1.1636322004927868,0.8328254519440363,1
DPP15.TS,Lung,1.0,R2-2,C1,0,1.2642392930533768,0.6551041273817273,0.6244957250124172,-0.07302518925345715,0.07212380617090046,1.1608345411999348,-1.165875506250205,0.22907113051334246,0.4071996730286106,-0.9990162483667572,0.450500697514615,0.5819629422083826,1.97714290046389,-1.4430815985308711,-0.8010126596638503,1.69020323727628,1.1880070660780973,0.5180870152580062,0.8155263124019996,1.8858170972683854,0.07112798674332148,-0.003756802255015435,-0.5719343837501575,2.0788705556349387,1.6213262574393104,3.044108128056891,1.3947345966615274,-0.3918108230548851,1.7152164393142195,1.1195343942270455,0.4673430212433578,-0.01593026626884956,2.009626305652568,0.27808979461529215,2.1075140374811894,2.3233298593814165,0
DPP15.TS,Lung,1.0,R2-3,C5,2,0.5743222810511187,-0.2584385698668008,0.12843980245211087,0.07086625740099957,0.001499253763785033,1.1828080385037063,-0.8253779491446815,0.22555192551744682,0.05575821935551066,-0.6045812279052831,0.08568119116436816,0.5498191506393034,0.6035272880861193,-0.451231745655271,-1.15919565486619,0.5221019762482938,0.9884623017365433,-0.14927031663652474,0.545207098666056,1.6779365471960654,-0.09869582119072075,0.03751499221569965,-0.7826484224197084,2.0899755889609812,1.3661630305040624,0.2389440716102332,1.5195017481672723,-0.6369322160499293,1.7416044560063695,1.5900178150756457,0.4336672222022499,-0.3300532906398079,-2.1840430215986615,0.24801324344612483,1.5304784572824355,1.0198491397798761,0
DPP15.TS,Lung,1.0,R2-5,C4,1,0.32735056137380036,0.2550707827935263,0.2683528582693839,0.26761696576402827,-0.7497847961282196,1.3703956213888009,-0.9149931370813227,0.5488383770659255,0.5434224807938709,-0.8710345771963386,0.884023220716711,1.0993357639062395,1.3597064082159083,-0.9335296590939074,-2.195450209695004,1.068739143370044,1.7611392701847863,0.46854329305916226,0.7851891756941206,1.9283581828638972,0.04666877598007717,-0.13328693943604403,-0.7773975155238058,1.9167319421696745,1.38771010531409,0.16085212658945577,1.4253673589497924,-0.3176516545001218,1.6561616465262252,1.6305950345072782,0.3510002577361315,0.26978597227977985,0.9222327609101161,0.5436317015622327,1.5058371343664987,1.0323045413697287,0
DPP15.IN,Lung,0.0,R3-2,E1,0,-1.6672026784463274,-1.5090711311740836,0.11187520482696893,-0.024113790367760683,-0.5445732783093682,0.6742682892650834,-0.9946522912810875,-2.0230095571975677,-2.3060810077791003,-0.6521651588114908,-0.10888476980194528,-0.12834765693749373,-1.641400100323405,-0.6910079090793178,-0.5773478769413928,1.3460242219182343,-4.840148157217639,-4.648173087821219,0.20187843370985742,0.4914330999954975,0.08942810639189278,-3.4777288804148356,-1.9071417900054595,0.9844822450519773,1.3655611493020832,0.7451482333910835,1.3316688320872163,-0.8794882632734667,1.6147959180055838,0.08054186781826007,-0.3238393962521728,0.40759671531833574,2.5952938973741553,0.5581102083605641,2.2628031187558615,1.559164199710664,0
DPP15.IN,Lung,0.0,R3-3,E3,2,-0.708030009673977,-0.6600338980245444,0.28696590247807535,-0.06382762607114582,0.5522341797022904,1.1188291221392244,-0.8694462456740707,-0.15940908472377371,-1.2315520986941588,-0.6140359497818999,0.26562338481521436,0.7067022736517565,-0.12008240154766617,-0.7890301162083388,-1.6914831204243186,1.1419148392764968,-0.2274885011819747,-0.5557170120518188,0.516199509052231,1.0965504316667594,0.21679140036860267,-1.2362758078449636,-1.477303980448215,1.2383126103287718,0.7327856820811414,0.8612577504325759,1.819966254485831,-0.805551359488398,1.7560707929518298,0.5543852120694486,-0.21170466408961186,0.3999032965083671,0.9455318325818297,1.2999456964594316,1.582891785858678,0.3637897962292794,0
