Population Definition Reported,count
"Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",485
"Singlets/WBC/Lymph/CD19,Freq. of,Lymph",485
"Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH",485
"Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4",485
"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH",485
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8",485
"Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8",485
"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8",485
"Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3",485
"Singlets/WBC/Lymph/CD3/CD4/TH/DR,Freq. of Parent",485
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH",484
"Singlets/WBC/Lymph/CD3/CD8/CXCR3,Freq. of,CD8",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH",484
"Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH",484
"Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent",484
"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent",484
"Singlets/WBC/Lymph/CD19/CD27/CD138/CD86,Freq. of Parent",480
"Singlets/WBC/Lymph/CD3/CD8/CCR6,Freq. of,CD8",477
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40-,Freq. of Parent",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86+,Freq. of,CD1c",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD86-,Freq. of Parent",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c,Freq. of,WBC",451
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD40+,Freq. of,CD1c",451
Viable/Singlets,435
Viable,435
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-;Count,424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-;Count,424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IL-2/Ki-67;Count,424
(TNF-a)  minus (TNF-a  Ki67 positive),424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IL-2;Count,424
(TNF-a) minus (TNF-a Ki67 positive),424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/TNFa/Ki-67;Count,424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IFNg/Ki-67;Count,424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/Ki-67;Count,424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/IFNg;Count,424
FSC-A;; SSC-A subset/FSC-A;; FSC-H subset/live/CD3+14-/CD4+8-/CD45RA-/TNFa;Count,424
(IFN-g) minus (IFN-g Ki67 positive),424
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD38+, HLA-DR+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RO+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA-, CCR7+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7-",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD45RA+, CCR7+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7+, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, CD27+, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7-, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD27+, CD28-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA+, CCR7-",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD38+, HLA-DR+",401
"singlet, CD3+, viable[live/dead stain], CD4+, CD8-, CD45RA-, CCR7+, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD27-, CD28+",401
"singlet, CD3+, viable[live/dead stain], CD4-, CD8+, CD27+, CD28+",401
