Experiment,Treatment,Tissue,Mouse,Target,Timepoint_pre,Timepoint_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
C57BL/6,Intranasal,Spleen,3,no,PBS,4.50E+02,-0.43263985774154623,0.2844155665454237,,,,,,,,,,,-0.16717969241744662,,,-0.4986348828209842,,,,,,,,-1.2634219024425815,-0.21302317686901012,0.08769839330514219,0.7916450118598053,,,0.03460593892633368,,-0.4839806398953942,0.08322736289475513,,,
C57BL/6,Intranasal,Spleen,3,Maybe,PBS,4.50E+04,-0.5208851534369439,0.4817631036012415,,,,,,,,,,,-0.3484040536466489,,,-0.7946368570358099,,,,,,,,-0.4834126341302147,0.07155278058619627,0.8582096344129209,0.35603468598040566,,,0.17598868979618168,,-0.02195549943603233,-0.10713984963506958,,,
C57BL/6,Intranasal,Spleen,3,Yes,PBS,4.50E+06,-0.8410041289127215,0.7137490692737809,,,,,,,,,,,-0.2936205589311834,,,-0.42609496019301457,,,,,,,,0.1681357506503257,0.07155278058619627,-0.018667481692517616,0.5966659085249506,,,0.44951337194684815,,-0.10152310564121925,0.08322736289475513,,,
BALB/c,Intramuscular ,Spleen,1,no,PBS,4.50E+02,0.051276359782430954,0.10799006282446856,,,,,,,,,,,-0.11379747874698475,,,-0.5792464473264065,,,,,,,,0.28652216254071083,-0.6817940353875407,-0.36507295507985915,0.7154215185918485,,,0.14867917989825635,,-0.3994503219618553,-0.5720944167481539,,,
BALB/c,Intramuscular ,Spleen,1,maybe,PBS,4.50E+04,0.19676868241578563,0.058742042787586136,,,,,,,,,,,-0.3625611163230439,,,-0.1911888417355711,,,,,,,,0.5974719775066869,1.149294386910546,0.7682625310945791,0.4220278972599254,,,1.0907780282033264,,0.4892763888987943,0.7022262997483043,,,
BALB/c,Intramuscular ,Spleen,1,Yes,PBS,4.50E+06,0.4915498665509655,-0.09684188953688583,,,,,,,,,,,-0.4049639194171515,,,-0.05918250068736072,,,,,,,,-0.3391519103810612,1.8609217194709553,0.2780718217111993,-0.016148082772006068,,,1.7277880583962173,,0.6976311076993739,1.092019730319386,,,
BALB/c,Intramuscular ,Spleen,2,no,PBS,4.50E+02,0.13062309346716502,-0.0005318403729594409,,,,,,,,,,,-0.46569805202568354,,,-0.6256741744406779,,,,,,,,0.5548998308920053,1.1809013646602495,1.5198434129251372,0.46880793717772357,,,0.5570154352849213,,-0.024606196938271544,0.9722372373673263,,,
BALB/c,Intramuscular ,Spleen,2,maybe,PBS,4.50E+04,-0.3058218350473436,0.3924974331589473,,,,,,,,,,,-0.32156336000595775,,,-0.2253619078276831,,,,,,,,0.5363206472903677,1.411554479593379,1.7967466444124243,0.29268648347440346,,,1.68326855085509,,0.3173798319855505,1.2035351344731895,,,
BALB/c,Intramuscular ,Spleen,2,Yes,PBS,4.50E+06,-0.2438887273070623,0.31450058542743464,,,,,,,,,,,-0.4175349852150897,,,-0.2101193398243066,,,,,,,,0.9598326493317728,2.239226504847965,1.7967466444124243,0.3017973880639736,,,1.7711202680850886,,0.678941462585184,1.3078512935899143,,,
BALB/c,Intramuscular ,Spleen,3,no,PBS,4.50E+02,-0.5766310348522237,0.4769268139403653,,,,,,,,,,,-0.1897940474536046,,,-0.5180700034244157,,,,,,,,-0.9639196389814115,0.2955520196013744,-0.7409303138699443,0.8288927187332815,,,0.23652852172904068,,-0.37267571513028136,-0.7624616292779786,,,
BALB/c,Intramuscular ,Spleen,3,maybe,PBS,4.50E+04,-0.615235595113612,0.504256914863086,,,,,,,,,,,-0.42212346926257593,,,-0.21069627268908744,,,,,,,,2.088685599418704,1.5631804112124854,0.4195191909283189,0.06220703631934432,,,1.083551705587831,,0.5041159777220228,0.14203926790805832,,,
BALB/c,Intramuscular ,Spleen,3,Yes,PBS,4.50E+06,-0.08397494705039608,0.2248910440134759,,,,,,,,,,,-0.41471677296974263,,,-0.10120488175647464,,,,,,,,-0.8716688857492086,0.08204900510900767,0.5159872743082181,0.5143983628187663,,,1.2291585890258363,,0.10639042915627599,-0.24775416266302352,,,
BALB/c,Intranasal,Spleen,1,no,PBS,4.50E+02,-0.15715110507965235,0.20344222842067042,,,,,,,,,,,-0.3946157870586113,,,-0.4438429952148335,,,,,,,,-0.5041632801107774,0.3935063669310794,0.1617676664148699,0.4019421675395065,,,0.4747390344379595,,-0.9337618271045286,-0.8964346708332843,,,
BALB/c,Intranasal,Spleen,1,maybe,PBS,4.50E+04,0.3133835527717274,-0.10114368215656282,,,,,,,,,,,-0.23901925243570393,,,-0.5639163144917652,,,,,,,,1.451493617756557,1.3034076260432341,0.8221490916711859,0.37130993987510813,,,0.7039718612959865,,-0.9337618271045286,-0.4314576585672721,,,
BALB/c,Intranasal,Spleen,1,Yes,PBS,4.50E+06,0.16576866916043492,0.029005316691358515,,,,,,,,,,,-0.3317523737522504,,,-0.005000720182475285,,,,,,,,-0.09791885809918474,1.5506208303763558,0.3277524918717919,0.6679549059046372,,,0.746178460027348,,-0.2889181967678958,-0.4314576585672721,,,
BALB/c,Intranasal,Spleen,2,no,PBS,4.50E+02,-0.4718546390254846,0.46889082757332656,,,,,,,,,,,-0.2987538113155514,,,-0.5581756218129594,,,,,,,,0.11019651539305694,-1.9708670563704758,-0.8128675869622429,0.9088461379971947,,,-0.06828938045034184,,-0.9337618271045286,-1.1350730054424858,,,
BALB/c,Intranasal,Spleen,2,maybe,PBS,4.50E+04,-1.1816206750102463,0.6590115677019072,,,,,,,,,,,-0.517743028158151,,,-0.34135516653174913,,,,,,,,0.9225516493021908,-0.27536441183017674,0.6924992850314704,0.991543280810858,,,0.5112560744053732,,-2.0357874998342638,-2.255371797351407,,,
BALB/c,Intranasal,Spleen,2,Yes,PBS,4.50E+06,-0.04432483397415976,0.25037839800995887,,,,,,,,,,,-0.5460760470724689,,,-0.03909593751084586,,,,,,,,0.6745523732730173,-0.19467790732530557,0.40601491363819164,0.889867675948241,,,0.5513782308197871,,-0.2889181967678958,-0.5720944167481539,,,
BALB/c,Intranasal,Spleen,3,no,PBS,4.50E+02,-0.6188387398021048,0.3104126652191962,,,,,,,,,,,-0.3668778988600713,,,-0.6442211176521732,,,,,,,,0.5199240867830599,0.24507908032817743,-0.018667481692517616,0.17481520052553295,,,0.8953505706291209,,-0.2889181967678958,-0.5720944167481539,,,
BALB/c,Intranasal,Spleen,3,maybe,PBS,4.50E+04,-0.07072086177765698,0.1739602567503514,,,,,,,,,,,-0.3499145535302051,,,-0.5050895285287021,,,,,,,,0.7269291158196204,0.07155278058619627,0.6245024289319441,0.6148915811225202,,,1.0579726004805656,,-0.2889181967678958,-0.45231192379609414,,,
BALB/c,Intranasal,Spleen,3,Yes,PBS,4.50E+06,0.018347821868038072,0.17094202409455228,,,,,,,,,,,-0.44282018300535736,,,-0.20410161757321146,,,,,,,,0.548156896890786,-0.9629088601281752,-0.018667481692517616,0.8537833326879771,,,1.2057897245099087,,-0.9337618271045286,-1.1664456084523065,,,
