Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2,Freq. of Parent",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD1c/CD2+,Freq. of,CD1c",cells/ul,451,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
CD3+,ul,324,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376",CD3+
grans,ul,324,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376",gran
"Lin1-, HLA-DR+, BDCA2+, CD11c-",ul,324,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c-, CD303+, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2-, CD11c+",ul,324,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD303-, HLA-DR+, Lin1-"
CD3+ AND CD4+ AND small lymphocyte,cells/ml,301,1,44,62,"0.0, 14.0, 294.0, 42.0, 54.0, 68.0, 84.0, 13.0, 285.0, 39.0, 67.0, 81.0, 56.0, 70.0, 279.0, 69.0, 15.0, 43.0, 72.0, 89.0, 295.0, 57.0, 71.0, 85.0, 297.0, 302.0, 78.0, 41.0, 55.0, 83.0, 292.0, 46.0, 62.0, 74.0, 95.0, 63.0, 92.0, 309.0, 82.0, 18.0, 122.0, 59.0, 58.0, 80.0, 47.0, 305.0, 88.0, 91.0, 300.0, 16.0, 293.0, 45.0, 60.0, 90.0, 301.0, 65.0, 79.0, 86.0, 44.0, 35.0, 308.0, 315.0",167,"CD3+, CD4+, lymphocyte"
CD3+ AND CD8+ AND small lymphocyte,cells/ml,301,1,44,62,"0.0, 14.0, 294.0, 42.0, 54.0, 68.0, 84.0, 13.0, 285.0, 39.0, 67.0, 81.0, 56.0, 70.0, 279.0, 69.0, 15.0, 43.0, 72.0, 89.0, 295.0, 57.0, 71.0, 85.0, 297.0, 302.0, 78.0, 41.0, 55.0, 83.0, 292.0, 46.0, 62.0, 74.0, 95.0, 63.0, 92.0, 309.0, 82.0, 18.0, 122.0, 59.0, 58.0, 80.0, 47.0, 305.0, 88.0, 91.0, 300.0, 16.0, 293.0, 45.0, 60.0, 90.0, 301.0, 65.0, 79.0, 86.0, 44.0, 35.0, 308.0, 315.0",167,"CD3+, CD8+, lymphocyte"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, mDC1"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4+, CD45RA-, CD8-, CXCR5-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD2-, CD303-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD2+, CD303-, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, mDC2"
"CD3+, CD4+, CD8-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4+, CD8-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, mDC1"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, pDC"
"CD3+, CD4-, CD8+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4-, CD8+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD303-, CD86+, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD14+, HLA-DR+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4+, CD45RA-, CD8-, CXCR5-"
"CD3+, CD4-, CD8+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4-, CD8+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4+, CD45RA-, CD8-, CXCR5+, ICOS+"
"CD3+, CD4-, CD8+, CXCR5+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4-, CD8+, CXCR5+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
SLAN+,ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376",SLAN+
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, pDC"
"CD3+, CD4-, CD8+, CXCR3+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4-, CD8+, CXCR3+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD303-, CD86-, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"CD3+, CD4-, CD8+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4-, CD8+"
"CD3+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, pDC"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"CD19+, CD3-, CD14-, CD20+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20+, CD3-"
CD16- grans,ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD16-, gran"
CD16+ grans,ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD16+, gran"
"CD14lo, HLA-DR+, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, HLA-DR+"
"CD14lo, HLA-DR+, CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DRlo, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRlo, CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DRhi, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRhi CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD40+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD40+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, SLAN-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, HLA-DR+, SLAN-"
"CD14+, HLA-DR+, CD16-, SLAN+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, HLA-DR+, SLAN+"
"CD14+, HLA-DR+, CD16-, CX3CR1-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, CX3CR1-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CX3CR1+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, CX3CR1+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, CD86-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, CD86+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD11b-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11b-, CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD11b+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11b+, CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, SLAN-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, HLA-DR+, SLAN-"
"CD14+, HLA-DR+, CD16+, SLAN+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, HLA-DR+, SLAN+"
"CD14+, HLA-DR+, CD16+, CX3CR1-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, CX3CR1-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CX3CR1+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, CX3CR1+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, CD86-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, CD86+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD11b-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11b-, CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD11b+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11b+, CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14+, CD16+, HLA-DR+"
"CD19+, CD3-, CD14-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD3-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, mDC2"
"CD19+, CD3-, CD14-, CD27-, IgD-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD27-, CD3-, IgD-"
"CD19+, CD3-, CD14-, CD27+, IgD-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_switched_memory, CD14-, CD19+, CD27+, CD3-, CD86+, IgD-"
"CD19+, CD3-, CD14-, CD27-, IgD+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_naive, CD14-, CD19+, CD27-, CD3-, CD86+, IgD+"
"CD19+, CD3-, CD14-, CD38+, CD20-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-, CD38+, CD86+"
"CD19+, CD3-, CD14-, CD38+, CD24+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD24+, CD3-, CD38+"
"CD19+, CD3-, CD14-, CD38+, CD24+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD24+, CD3-, CD38+, CD86+"
"CD19+, CD3-, CD14-, CD27+, CD138+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD138+, CD14-, CD19+, CD27+, CD3-, CD86+"
"CD19+, CD3-, CD14-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD3-, CD86+"
"CD19+, CD3-, CD14-, CD27+, IgD+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, IgD+"
"CD3+, CD4+, CD8-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4+, CD8-"
"CD19+, CD3-, CD14-, CD27+, CD138+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD138+, CD14-, CD19+, CD27+, CD3-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD3+, CD4+, CD45RA-, CD8-, CXCR5+"
"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, CD86+, IgD+"
"CD19+, CD3-, CD14-, CD27+, IgD-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_switched_memory, CD14-, CD19+, CD27+, CD3-, IgD-"
"CD19+, CD3-, CD14-, CD20-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-, CD86+"
"CD19+, CD3-, CD14-, CD27-, IgD+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","B_naive, CD14-, CD19+, CD27-, CD3-, IgD+"
"CD19+, CD3-, CD14-, CD20-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-"
"CD19+, CD3-, CD14-, CD20+, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20+, CD3-, CD86+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, mDC2"
"CD19+, CD3-, CD14-, CD38+, CD20-",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD20-, CD3-, CD38+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD19+, CD3-, CD14-, CD27+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD27+, CD3-"
"CD19+, CD3-, CD14-, CD27-, IgD-, CD86+",ul,264,5,69,6,"0.0, 1.0, 28.0, 7.0, 40.0, 90.0","144, 364, 369, 372, 376","CD14-, CD19+, CD27-, CD3-, CD86+, IgD-"
"CD3+, CD4-, CD8+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, CD4-, CD8+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD62L+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16-, CD62L+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c+, CD303-, CD40-, HLA-DR+, Lin1-"
"CD3+, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD62L-",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD14+, CD16-, CD62L-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD11c-, CD303+, CD40+, HLA-DR+, Lin1-, pDC"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD16+, CD62L- grans",ul,117,3,30,5,"0.0, 28.0, 7.0, 90.0, 1.0","369, 372, 376","CD16+, CD62L-, gran"
