Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH, WBC"
"Singlets/WBC/Lymph/CD19,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD27+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD27/CD138,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD138+, CD19+, CD27+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3-, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH, WBC"
"Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD38+, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD27+, CD3+, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD27+, CD3-, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3-, CD38+, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD38+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH, WBC"
"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD27+, CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD86+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH, WBC"
"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD27+, CD86+, lymphocyte, plasmablast, singlet, WBC"
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, ICOS+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, HLA-DR+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH2, WBC"
