mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_balance,param_classify__shrinkage,param_classify__solver,param_select,param_transform,param_select__k,param_transform__n_components,params,split0_test_f1_weighted_scorer,split1_test_f1_weighted_scorer,split2_test_f1_weighted_scorer,split3_test_f1_weighted_scorer,split4_test_f1_weighted_scorer,split5_test_f1_weighted_scorer,split6_test_f1_weighted_scorer,split7_test_f1_weighted_scorer,split8_test_f1_weighted_scorer,split9_test_f1_weighted_scorer,split10_test_f1_weighted_scorer,split11_test_f1_weighted_scorer,split12_test_f1_weighted_scorer,split13_test_f1_weighted_scorer,mean_test_f1_weighted_scorer,std_test_f1_weighted_scorer,rank_test_f1_weighted_scorer,split0_test_roc_auc_scorer,split1_test_roc_auc_scorer,split2_test_roc_auc_scorer,split3_test_roc_auc_scorer,split4_test_roc_auc_scorer,split5_test_roc_auc_scorer,split6_test_roc_auc_scorer,split7_test_roc_auc_scorer,split8_test_roc_auc_scorer,split9_test_roc_auc_scorer,split10_test_roc_auc_scorer,split11_test_roc_auc_scorer,split12_test_roc_auc_scorer,split13_test_roc_auc_scorer,mean_test_roc_auc_scorer,std_test_roc_auc_scorer,rank_test_roc_auc_scorer,split0_test_accuracy_scorer,split1_test_accuracy_scorer,split2_test_accuracy_scorer,split3_test_accuracy_scorer,split4_test_accuracy_scorer,split5_test_accuracy_scorer,split6_test_accuracy_scorer,split7_test_accuracy_scorer,split8_test_accuracy_scorer,split9_test_accuracy_scorer,split10_test_accuracy_scorer,split11_test_accuracy_scorer,split12_test_accuracy_scorer,split13_test_accuracy_scorer,mean_test_accuracy_scorer,std_test_accuracy_scorer,rank_test_accuracy_scorer
0.1418372562953404,0.02402854689207775,0.005575827189854213,0.0006202259325130024,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",50.0,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 50, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.6571428571428571,0.7333333333333333,0.832258064516129,0.7916666666666667,0.5065390749601275,0.9047619047619048,0.8246700188560654,0.6666666666666666,0.849624060150376,0.8041666666666668,0.6290598290598292,0.725071225071225,0.6826666666666666,0.7885167464114832,0.742581698637857,0.10229546949165523,11,0.8484848484848484,0.875,0.9642857142857143,0.7300000000000001,0.32142857142857145,0.9600000000000001,0.9072681704260652,0.74,0.91,0.8791208791208791,0.6979166666666666,0.9393939393939393,0.859375,0.9464285714285714,0.8270501686596611,0.16312510411422454,11,0.7,0.7333333333333333,0.85,0.8,0.5333333333333333,0.9,0.825,0.6666666666666666,0.85,0.8,0.65,0.75,0.65,0.8,0.7505952380952381,0.09720622641330513,11
0.1198831456048148,0.0051017654615915006,0.005208304950169155,0.00032282212909464844,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",10.0,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.6571428571428571,0.725925925925926,0.7625,0.4791666666666667,0.41333333333333333,0.890625,0.8,0.6666666666666666,0.8,0.7,0.6006269592476489,0.7868131868131869,0.7296703296703297,0.9327300150829563,0.7103714957535409,0.13777788725542567,12,0.9797979797979797,0.7857142857142857,0.8690476190476191,0.62,0.4821428571428571,0.7466666666666667,0.8796992481203008,0.8200000000000001,0.8300000000000001,0.8131868131868132,0.7291666666666667,0.9696969696969696,0.890625,1.0,0.8154102932885827,0.13630456235997807,12,0.7,0.7333333333333333,0.8,0.5,0.4666666666666667,0.9,0.8,0.6666666666666666,0.8,0.7,0.65,0.8,0.7,0.9333333333333333,0.725,0.12673400465742388,12
0.005882518632071359,0.00012114041951968006,0.007824489048549108,0.00010382576478395402,,,svd,,"PCA(random_state=42, svd_solver='full')",,10.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 10}",0.49333333333333335,0.6,0.5764705882352941,0.45054945054945056,0.45185185185185184,0.8440860215053764,0.85,0.6666666666666666,0.849624060150376,0.7531328320802005,0.5619047619047619,0.725071225071225,0.6826666666666666,0.725925925925926,0.6593773845672234,0.13599494724437658,13,0.7878787878787878,0.7142857142857143,1.0,0.62,0.32142857142857145,0.8133333333333334,0.9197994987468672,0.7,0.91,0.8681318681318682,0.6875,0.9494949494949494,0.875,0.6964285714285714,0.7759486639091903,0.16764218270916292,13,0.6,0.6,0.7,0.5,0.4666666666666667,0.85,0.85,0.6666666666666666,0.85,0.75,0.6,0.75,0.65,0.7333333333333333,0.6833333333333332,0.11885699023189221,13
0.1252843141555786,0.009262987064898351,0.005131755556379046,0.00013869928883569757,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",30.0,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.6571428571428571,0.7333333333333333,0.6796536796536796,0.4133333333333334,0.3945701357466064,0.8,0.7487468671679197,0.6666666666666666,0.7493734335839599,0.6,0.5230769230769231,0.725071225071225,0.819047619047619,0.56,0.6478582909874374,0.1288388168102225,14,0.9595959595959596,0.8214285714285714,0.7619047619047619,0.61,0.4642857142857143,0.68,0.8245614035087719,0.64,0.8400000000000002,0.7252747252747254,0.6354166666666667,0.9292929292929293,0.953125,0.7857142857142857,0.7593285726908848,0.13842736219480403,14,0.7,0.7333333333333333,0.75,0.45,0.4,0.8,0.75,0.6666666666666666,0.75,0.6,0.55,0.75,0.8,0.6,0.6642857142857143,0.12228920036567864,14
0.006049377577645438,0.0003469994355241619,0.008169446672712053,0.0004214416052281681,,,svd,,"PCA(random_state=42, svd_solver='full')",,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.5808777429467085,0.725925925925926,0.7204301075268817,0.40476190476190477,0.3273809523809524,0.7570532915360502,0.6677777777777777,0.4666666666666667,0.6491228070175439,0.6546666666666667,0.5439999999999999,0.725071225071225,0.8559139784946236,0.6,0.6199749319123519,0.13997170894924066,15,0.7979797979797979,0.8035714285714286,0.6666666666666667,0.53,0.30357142857142855,0.6000000000000001,0.8120300751879699,0.5,0.81,0.5604395604395604,0.53125,0.7575757575757576,0.9375,0.7142857142857143,0.6660621735198803,0.16342290801295975,17,0.65,0.7333333333333333,0.75,0.5,0.3333333333333333,0.75,0.675,0.4666666666666667,0.65,0.65,0.55,0.75,0.85,0.6,0.6363095238095238,0.1319724877705375,16
0.16215595177241734,0.03372069267734893,0.006923096520560128,0.0017223749896779395,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",50.0,5.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 50, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 5}",0.5808777429467085,0.5888888888888888,0.7625,0.40476190476190477,0.3333333333333333,0.7570532915360502,0.5791666666666666,0.5422647527910686,0.6491228070175439,0.7,0.5868131868131867,0.725071225071225,0.8559139784946236,0.5888888888888888,0.6181897619435777,0.13463457047979527,16,0.797979797979798,0.7857142857142857,0.7857142857142857,0.5,0.32142857142857145,0.5866666666666667,0.7744360902255639,0.6,0.84,0.6153846153846154,0.5416666666666666,0.8080808080808081,0.953125,0.625,0.6810854848472329,0.1612882802748505,15,0.65,0.6,0.8,0.5,0.3333333333333333,0.75,0.6,0.5333333333333333,0.65,0.7,0.6,0.75,0.85,0.6,0.6369047619047619,0.12789172184706407,15
0.12660367148263113,0.014262753204834368,0.005621279988970075,0.001400372289620071,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",10.0,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 10, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.6571428571428571,0.7333333333333333,0.5764705882352941,0.3333333333333333,0.29696969696969694,0.7142857142857142,0.7751407129455911,0.738095238095238,0.5959595959595959,0.18148148148148147,0.5230769230769231,0.3903225806451613,0.3,0.29696969696969694,0.5080415537481369,0.19563727722928625,17,0.8484848484848485,0.7678571428571428,0.3214285714285714,0.7,0.3928571428571429,0.68,0.8421052631578947,0.88,0.5800000000000001,0.6813186813186812,0.5520833333333334,0.7171717171717171,0.734375,0.7142857142857143,0.6722833867782176,0.1569470525147378,16,0.7,0.7333333333333333,0.7,0.5,0.4666666666666667,0.7,0.775,0.7333333333333333,0.6,0.35,0.55,0.55,0.3,0.4666666666666667,0.5803571428571427,0.14487293087313877,17
0.12380448409489223,0.012326034067795527,0.005403314317975726,0.00045577173466757135,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",30.0,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 30, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.3903225806451613,0.3710144927536232,0.5764705882352941,0.3333333333333333,0.29696969696969694,0.6428571428571428,0.3059322033898305,0.5333333333333333,0.5959595959595959,0.18148148148148147,0.5230769230769231,0.7868131868131869,0.5416666666666667,0.29696969696969694,0.4554429230346404,0.16285712511309175,18,0.8282828282828283,0.8214285714285714,0.32142857142857145,0.7200000000000001,0.3928571428571429,0.4666666666666667,0.43107769423558895,0.8400000000000001,0.59,0.6813186813186813,0.5625,0.9393939393939393,0.734375,0.6964285714285714,0.644696976217183,0.1817885835756058,20,0.55,0.5333333333333333,0.7,0.5,0.4666666666666667,0.75,0.475,0.6666666666666666,0.6,0.35,0.55,0.8,0.5,0.4666666666666667,0.5648809523809523,0.120357378361599,18
0.006157449313572475,0.0005710199145306263,0.008265205792018346,0.00030093828934570077,,,svd,,"PCA(random_state=42, svd_solver='full')",,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': None, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.3903225806451613,0.3710144927536232,0.5764705882352941,0.3333333333333333,0.29696969696969694,0.6428571428571428,0.3059322033898305,0.5333333333333333,0.5833333333333333,0.18148148148148147,0.5230769230769231,0.7868131868131869,0.5416666666666667,0.29696969696969694,0.45454104713276455,0.16210971574741173,19,0.8282828282828283,0.8214285714285714,0.32142857142857145,0.7,0.4285714285714286,0.4666666666666667,0.4385964912280702,0.8400000000000001,0.63,0.6703296703296704,0.5625,0.9393939393939393,0.734375,0.6785714285714285,0.6471531854215126,0.17629222419789564,19,0.55,0.5333333333333333,0.7,0.5,0.4666666666666667,0.75,0.475,0.6666666666666666,0.6,0.35,0.55,0.8,0.5,0.4666666666666667,0.5648809523809523,0.120357378361599,18
0.162186826978411,0.04375782601955955,0.006866097450256348,0.0013821960306082803,,,svd,SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>),"PCA(random_state=42, svd_solver='full')",50.0,2.0,"{'balance': None, 'classify__shrinkage': None, 'classify__solver': 'svd', 'select': SelectKBest(score_func=<function mutual_info_classif at 0x78653ad5f380>), 'select__k': 50, 'transform': PCA(random_state=42, svd_solver='full'), 'transform__n_components': 2}",0.3903225806451613,0.3710144927536232,0.5764705882352941,0.3333333333333333,0.29696969696969694,0.6428571428571428,0.3059322033898305,0.5333333333333333,0.5833333333333333,0.18148148148148147,0.5230769230769231,0.7868131868131869,0.5416666666666667,0.29696969696969694,0.45454104713276455,0.16210971574741173,19,0.8383838383838383,0.8035714285714286,0.30952380952380953,0.7,0.4285714285714286,0.48,0.4411027568922306,0.8600000000000001,0.62,0.6703296703296704,0.5625,0.9393939393939393,0.734375,0.6964285714285714,0.648870031649637,0.17831365540745003,18,0.55,0.5333333333333333,0.7,0.5,0.4666666666666667,0.75,0.475,0.6666666666666666,0.6,0.35,0.55,0.8,0.5,0.4666666666666667,0.5648809523809523,0.120357378361599,18
