Treatment,Tissue,Protection,Mouse_pre,Mouse_peak,Age_prime_peak,Age_challenge_peak,Body_score_peak,Weight_peak,live.cd4tconv,cd4.treg,treg.cd103,treg.ly6c,cd4tconv.cd103,cd4tconv.ly6c,cd4tconv.cd44,cd4tconv.tbethi,cd4tconv.tbetmid,cd4tconv.th2,cd4tconv.mpec,cd4tconv.slec,live.cd8,CD8.CD44hi,CD8.CD103,CD8.GrzmB,CD8.Tbethi.Ly6Chi,CD8.Tbethi.Ly6Clo,CD8.VacTet,CD8.Ly6C,CD8.VacTet.MFI,ILC1,ILC2,NK,Neutro,Macro,Mo0,mo0.CD11c,mo0.CD11cneg,DC,B.naive.FO,B.memory,B.plasma,B.GC,B.immature,NK.GrzmB
DPP15.IN,Lung,0.0,R3-1,E2,2.0,10.0,3.0,-16.2,-1.3100635002985688,-0.7392044000713334,0.35172608281714046,4.2818156559119736,-0.3307902134399251,3.136153140930797,-1.9313228437276966,-2.7058599018116105,0.9286671254004485,-0.21147702540545835,1.0192362249236104,3.1035133036565212,-1.178705382519026,-1.426515848290623,-1.1979827106244807,6.250736783082317,-0.29864726148575227,-3.8811765937059097,0.21089084564085675,1.4023196490318897,2.4947360927052995,-4.529226073798168,-3.293730067743935,2.3014672442995447,3.6351793825927388,4.537424227314497,4.136384465201349,-0.6069717885894821,6.607486361907336,1.1324318010980026,0.8904747063123477,-0.8871103482624104,-8.953574277305394,2.4500115961191176,6.718035438752224,2.925267920336884
DPP15.IN,Lung,0.0,R3-1,E3,2.0,10.0,3.0,-15.4,-1.0770168264947744,-0.12704846281811344,0.8649314446751377,3.5558078749071074,0.7702288475935669,2.9740164601515238,-1.7568105598692652,-3.7307593632510354,-0.1278228799520342,-0.23730465516436686,0.18516669589121204,2.0132707312907656,-0.5424636499857783,-1.9071314602340201,-1.9665816942942465,6.385603191410071,-2.2938062637651835,-3.876370999092611,0.6307105206456896,1.459177383731876,3.5331460865354596,-5.792123855693263,-3.9481178180520016,2.152441154317834,3.4815323403571727,3.6404059327985463,4.223316700492467,-1.1985593849487186,7.118906205324964,0.762978224592081,0.8654384359697704,-0.5652884481165246,3.4586227495207416,3.600518859377942,6.538289328034344,3.0644306512159023
DPP15.IN,Lung,0.0,R3-2,E1,2.0,10.0,3.0,-14.6,-1.7832589048701848,-0.5685197475107409,0.28796048118848855,3.1822639151942878,-0.9269497346806423,3.0275381265861534,-2.1446786061292635,-16.536504222942373,-1.7921345553175962,-0.20948000785073356,-0.23147929396509043,2.1352345194833307,-1.6906560244279907,-2.4538961564302606,-1.400099238248504,7.240323028470835,-16.158805988435013,-17.26359162839861,0.49443191834163414,1.9630312075737968,2.9354247842155967,-14.057725664111802,-4.90033417301524,2.0942973400949483,4.204076192455525,2.7765947172302345,3.6027220744946704,-1.1970033261122721,6.87920643716955,0.28853788603846536,0.11071329730130482,0.3795638944852686,11.512102429831184,0.6004163929488917,7.4795233632730715,4.12719695469753
DPP15.IN,Lung,0.0,R3-2,E2,2.0,10.0,3.0,-16.2,-1.3430167293380706,-0.5250328225093654,0.10191682892413528,3.7200662288121804,-1.0754637740810027,3.2499277162696947,-2.4255179575043466,-1.848583919950355,0.7744010021139048,-0.2523242795833169,1.1266971548908598,5.204830027799821,-0.9409247203141038,-2.204088210307962,-1.3125604232188033,7.664744515954719,0.7470810556565469,-3.357622343981762,-0.06308239298358577,2.0783969486294946,2.628388708847802,-4.631357902983578,-3.9050296449612523,2.6593824133874375,3.657847605961307,3.29331019893893,3.978756525350686,-0.8964886928573916,7.1442965956424604,0.6567397556982254,0.06819022882686494,0.4241774370729393,0.0,1.1386979628531673,7.426484763650986,3.9963494910719777
DPP15.IN,Lung,0.0,R3-2,E3,2.0,10.0,3.0,-15.4,-1.1099700555342762,0.08712311474385433,0.6151221907821327,2.994058447807314,0.025555286952489556,3.0877910354904214,-2.2510056736459148,-2.8734833813897804,-0.28208900323857805,-0.27815190934222545,0.2926276258584614,4.114587455434067,-0.3046829877808563,-2.6847038222513593,-2.081159406888569,7.799610924282472,-1.2480779466228846,-3.352816749368463,0.3567372820212468,2.135254683329481,3.666798702677963,-5.894255684878672,-4.559417395269318,2.510356323405727,3.5042005637257407,2.39629190442298,4.065688760641804,-1.4880762892166284,7.655716439060089,0.28728617919230376,0.04315395848428791,0.7459993372188249,12.412197026826135,2.2892052261119913,7.246738652933107,4.135512221950996
DPP15.IN,Lung,0.0,R3-3,E1,2.0,10.0,3.0,-14.6,-1.6386458128725612,-0.6544466565675177,0.06460948520570671,3.223038038912015,-0.6114080029888163,3.6336001142295484,-1.7738211088100115,-14.905134927888634,-2.1617441669645183,-0.1042173708332458,-0.07511295289748503,4.640513359916006,-1.4675646623598033,-2.4210522943979904,-1.8967125890546364,6.12876389568693,-14.697294842363545,-16.968105698269014,1.7046343501475805,2.6986073833769355,3.0725393622627912,-13.104953200894826,-4.466098386132864,2.073870955838873,3.860207539439627,3.5441963548557736,3.9062379082101386,-0.7770396706648153,6.478808714592776,0.5866682343345923,0.26123120139096323,0.0033233782212871766,3.7472346803172107,0.9648503822172168,5.743597023686261,2.5966841436539436
DPP15.IN,Lung,0.0,R3-3,E2,2.0,10.0,3.0,-16.2,-1.198403637340447,-0.6109597315661423,-0.12143416705864661,3.760840352529908,-0.7599220423891764,3.8559897039130897,-2.0546604601850946,-0.21721462489661508,0.40479139046698265,-0.14706164256582913,1.283063495958465,7.7101088682324965,-0.717833358245916,-2.1712443482756916,-1.8091737740249354,6.553185383170814,2.2085922017280164,-3.062136413852164,1.1471200388223601,2.813973124432634,2.7655032868949965,-3.6785854397666022,-3.470793858078876,2.638956029131362,3.3139789529454102,4.060911836564469,4.282272359066154,-0.47652503740993496,6.743898873065687,0.9548701039943522,0.2187081329165235,0.04793692080895806,-7.764867749513973,1.5031319521214919,5.690558424064177,2.4658366800283917
DPP15.IN,Lung,0.0,R3-3,E3,2.0,10.0,3.0,-15.4,-0.9653569635366526,0.0011962056870777457,0.39177119479935074,3.0348325715250417,0.34109701864431563,3.693853023133817,-1.880148176326663,-1.2421140863360405,-0.6516986148855002,-0.1728892723247375,0.44899396692606675,6.619866295866742,-0.08159162571266863,-2.651859960219089,-2.577772757694701,6.688051791498569,0.213433199448585,-3.057330819238865,1.566939713827193,2.8708308591326204,3.803913280725157,-4.941483221661696,-4.125181608386942,2.4899299391496514,3.1603319107098438,3.163893542048519,4.369204594357273,-1.0681126337691715,7.255318716483315,0.5854165274884305,0.19367186257394628,0.3697588209548437,4.647329277312162,2.6536392153803163,5.510812313346298,2.6049994109074097
DPP15.IN,Lung,0.0,R3-4,E1,2.0,10.0,3.0,-14.6,-1.7854089629600538,-0.03646062901567308,0.24996119459975985,3.7531139696503386,-0.876713972471593,2.705518806621261,-2.8652121757991655,-16.81066776936986,-3.1627902464923356,0.15001985524500983,-1.487425869752891,2.2170366903573795,-1.879483321326342,-3.423255641452377,-0.9765081427563131,3.371477994162923,-18.557550002614075,-20.897843451965645,0.9342237140708549,1.9931747591865043,2.8735583282253083,-13.753585141043848,-4.6479580950749195,1.679854499356151,3.61877888339073,2.742306026294511,3.5000083644262716,-1.2263490145009759,6.033892061265005,0.11852768999236041,0.7583040096483874,-0.6452173891710754,2.4106961035384553,0.8722252769226675,4.869185619000563,3.2314256716623815
DPP15.IN,Lung,0.0,R3-4,E2,2.0,10.0,3.0,-16.2,-1.3451667874279396,0.007026295985702145,0.06391754233540665,4.290916283268232,-1.0252280118719534,2.9279083963048023,-3.1460515271742486,-2.122747466377842,-0.5962546890608342,0.10717558351242659,-0.129249420896941,5.28663219867387,-1.1297520172124547,-3.1734476953300788,-0.8889693277266123,3.7958994816468072,-1.6516629585225155,-6.9918741675487945,0.37670940274563464,2.1085405002422024,2.5665222528575136,-4.327217379915623,-3.652653567020931,2.24493957264864,3.072550296896513,3.259021508003207,3.876042815282287,-0.9258343812460955,6.2989822197379155,0.4867295596521205,0.7157809411739479,-0.6006038465834046,-9.101406326292729,1.4105068468269426,4.816147019378478,3.1005782080368296
