Population Name Reported,count
Viable/Singlets/Lymphs/CD3+/CD8+/CD27+,82
"Viable/Singlets/Lymphs/CD3+/CD8+/Q4: CD45RAD, CD27D",82
"Viable/Singlets/Lymphs/CD3+/CD8+/Q1: CD45RAD, CD27+",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q4: CD45RAD, CD27D",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q2: CD45RA+, CD27+",82
"Viable/Singlets/Lymphs/CD3+/CD4+/Q1: CD45RAD, CD27+",82
"Viable/Singlets/Lymphs/CD3+/CD8+/Q3: CD45RA+, CD27D",82
Viable/Singlets/Lymphs/CD3-,82
Viable/Singlets/Lymphs/CD3-/B cells,82
Viable/Singlets/Lymphs/CD3+/CD3+ CD56+,82
Viable/Singlets/Lymphs/CD3+/TCRgd,82
Viable/Singlets/Monocytes,82
CD8_ICOSp_abs,82
CD3_ICOSp_abs,82
Viable/Singlets/Monocytes/CD33+,82
CD19pCD20n_CD86p_abs,80
CD19_CD27p_abs,80
CD19_CD86_abs,80
CD19pCD20p_CD86p_abs,80
IgDnCD27n_CD86p_abs,80
IgDnCD27p_CD86p_abs,80
IgDpCD27p_CD86p_abs,80
naive_CD86p_abs,80
CD19pCD20n_abs,80
CD19pCD20p_abs,80
IgDnCD27n_abs,80
IgDnCD27p_abs,80
IgDpCD27p_abs,80
naive_abs,80
trans_CD86p_abs,80
trans_abs,80
PB_CD86_abs,80
PB_abs,80
CD138_CD86_abs,80
CD19_abs,80
CD138_abs,80
central memory CD4+ T cell,60
T follicular helper cell type 2,60
T follicular helper cell type 17,60
ICOS+ T follicular helper cell type 1,60
T follicular helper cell type 1,60
effector memory CD4+ T cell,60
effector CD4+ T cell,60
ICOS+ T follicular helper cell type 2,60
naive CD4+ T cell,60
effector memory CD8+ T cell,60
effector CD8+ T cell,60
naive CD8+ T cell,60
central memory CD8+ T cell,60
CX3CR1lo HLA-DR+ monocyte,60
CX3CR1hi HLA-DR+ monocyte,60
