Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition,Intermediate_Population
"Singlets/WBC/Lymph/Lin1-DR+/mDC/CD86+,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86+,Freq. of,pDC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD86+, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlets/WBC/Lymph/Lin1-DR+/pDC/CD86-,Freq. of Parent",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD86-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3,Freq. of,WBC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/Lin1-DR+/mDC,Freq. of,WBC",cells/ul,489,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","HLA-DR+, Lin1-, lymphocyte, mDC, singlet, WBC",Myeloid DCs (Unspecified)
CD14posCD16neg_pmo,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14+, CD16-, monocyte",Classical Monocytes
CD14posCD16pos_CD86_pP,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14+, CD16+, CD86+",Intermediate Monocytes
CD14negCD16neg_CD86_pP,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14-, CD16-, CD86+",Unclassified / Potential Error
CD14posCD16pos_pmo,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14+, CD16+, monocyte",Intermediate Monocytes
"Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC",cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14+, CD16+, CD19-, CD3-, monocyte, singlet, WBC",Intermediate Monocytes
"Singlets/WBC/mono/CD3-CD19-/mo2/mo3/Q1: CD14,, CD16+,Freq. of,mo3",cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14+, CD16+, CD19-, CD3-, monocyte, singlet, WBC",Intermediate Monocytes
CD14posCD16neg_CD86_pP,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14+, CD16-, CD86+",Classical Monocytes
CD14negCD16pos_CD86_pP,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14-, CD16+, CD86+",Non-classical Monocytes
CD14negCD16neg_pmo,cells/ul,488,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD14-, CD16-, monocyte",Monocytes (Unspecified)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86-,Freq. of Parent",cells/ul,486,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40+,Freq. of,BDCA3",cells/ul,486,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD86+,Freq. of,BDCA3",cells/ul,486,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD40-,Freq. of Parent",cells/ul,486,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2,Freq. of Parent",cells/ul,486,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/Lin1-DR+/mDC/BDCA3/CD2+,Freq. of,BDCA3",cells/ul,486,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD141+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC2, singlet, WBC",Myeloid DCs type 2 (mDC2)
"Singlets/WBC/Lymph/CD3/CD8/ICOS+,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, ICOS+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"Singlets/WBC/Lymph/CD3/CD8/DR,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, HLA-DR+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"Singlets/WBC/Lymph/CD19/CD27/PB,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD27+, lymphocyte, plasmablast, singlet, WBC",Plasmablasts / Plasma cells
"Singlets/WBC/Lymph/CD3/CD8,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"Singlets/WBC/Lymph/CD3/CD4/TH/ICOS+,Freq. of,TH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD19,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD27+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD19/CD27/CD138,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD138+, CD19+, CD27+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD3-/NK,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3-, lymphocyte, NK, singlet, WBC",NK cells
"Singlets/WBC/Lymph/CD3/CD4/TH,Freq. of,CD4",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlets/WBC/Lymph/CD3+/CD56/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD38+, CD56+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3+/CD56/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD27+, CD3+, CD56+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3-/NK/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD27+, CD3-, lymphocyte, NK, singlet, WBC",NK cells
"Singlets/WBC/Lymph/CD3+/CD56,Freq. of,CD3+",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD56+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3-/NK/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3-, CD38+, lymphocyte, NK, singlet, WBC",NK cells
"Singlets/WBC/Lymph/CD3-/NK/Q1: CD16,, CD20-CD56+,Freq. of,NK",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC",NK cells
"Singlets/WBC/Lymph/CD3+/CD38,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD38+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3-/NK/Q2: CD16+,, CD20-CD56+,Freq. of,NK",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD16+, CD20-, CD3-, CD56+, lymphocyte, NK, singlet, WBC",NK cells
"Singlets/WBC/Lymph/CD3/CD4,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlets/WBC/Lymph/CD3/CD4/ICOS+,Freq. of,CD3",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, WBC",CD4+ T cells (Other)
"Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3+/CD27,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD27+, CD3+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD19/Q2: CD19+,, CD20-CD56+,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD19/CD86,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD86+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD19/CD27/PB/CD86,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD27+, CD86+, lymphocyte, plasmablast, singlet, WBC",Plasmablasts / Plasma cells
"Singlets/WBC/Lymph/CD19/Q3: CD19+,, CD20-CD56,Freq. of,CD19",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD19+, CD20-, CD56+, lymphocyte, singlet, WBC",B cells (Other)
"Singlets/WBC/Lymph/CD3/CD8/CXCR5,Freq. of,CD8",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD8+, CXCR5+, lymphocyte, singlet, WBC",CD8+ T cells (Other)
"Singlets/WBC/Lymph/CD3,Freq. of,Lymph",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, ICOS+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent",cells/ul,485,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, HLA-DR+, lymphocyte, singlet, WBC",T cells (Unspecified Subtype)
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH2, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1-17, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH1-17, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH1, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH17, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH17, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH17, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TH2, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH2, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH2, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH2, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH2, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH1, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH1-17, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1-17, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1-17, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1-17, WBC",CD4+ Helper T cells (Th subsets)
"Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, lymphocyte, singlet, TFH17, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH17, WBC",T follicular helper (Tfh) cells
"Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent",cells/ul,484,2,77,9,"-7.0, 0.0, 1.0, 120.0, 240.0, 28.0, 3.0, 7.0, -5.0","296, 301","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH17, WBC",T follicular helper (Tfh) cells
