Normalized_Definition
"CD40-, HLA-DR+, Lin1-, lymphocyte, pDC, singlet, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1, WBC"
"CD3+, CD4+, lymphocyte, singlet, TH1, WBC"
"CD3+, CD4+, lymphocyte, singlet, TH17, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH17, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH17, WBC"
"CD3+, CD4+, lymphocyte, singlet, TH2, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH2, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TH2, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH2, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1, WBC"
"CD3+, CD4+, lymphocyte, singlet, TFH2, WBC"
"CD3+, CD4+, lymphocyte, singlet, TFH1, WBC"
"CD3+, CD4+, lymphocyte, singlet, TFH1-17, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1-17, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1-17, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1-17, WBC"
"CD3+, CD4+, lymphocyte, singlet, TFH17, WBC"
"CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH17, WBC"
"CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH17, WBC"
"CD3+, CD8+, CXCR3+, lymphocyte, singlet, WBC"
"CD138+, CD19+, CD27+, CD86+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD8+, lymphocyte, singlet, WBC"
"CD1c+, CD40-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"CD1c+, CD40+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"CD1c+, CD86-, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"CD1c+, CD86+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"CD1c+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
"CD1c+, CD2+, HLA-DR+, Lin1-, lymphocyte, mDC, mDC1, singlet, WBC"
CD3+
gran
"CD11c-, CD303+, HLA-DR+, Lin1-, pDC"
"CD11c+, CD303-, HLA-DR+, Lin1-"
"CD3+, CD4+, lymphocyte"
"CD3+, CD8+, lymphocyte"
"CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, mDC1"
"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, ICOS+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"CD11c+, CD2-, CD303-, HLA-DR+, Lin1-"
"CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, pDC"
"CD11c+, CD2+, CD303-, HLA-DR+, Lin1-"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
"CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, mDC1"
"CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, mDC2"
"CD3+, CD4+, CD8-, ICOS+"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, mDC2"
"CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, mDC2"
"CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, mDC1"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, mDC1"
"CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1"
"CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, pDC"
"CD3+, CD4-, CD8+"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"CD11c+, CD303-, CD86+, HLA-DR+, Lin1-"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD14+, HLA-DR+"
"CD3+, CD4+, CD45RA-, CD8-, CXCR5-"
"CD3+, CD4-, CD8+, ICOS+"
"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, ICOS+"
"CD3+, CD4-, CD8+, CXCR5+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
SLAN+
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, pDC"
"CD3+, CD4-, CD8+, CXCR3+"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"CD11c+, CD303-, CD86-, HLA-DR+, Lin1-"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"CCR6+, CD3+, CD4-, CD8+"
"CD3+, ICOS+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, pDC"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"CD14-, CD19+, CD20+, CD3-"
"CD16-, gran"
"CD16+, gran"
"CD14+, CD16-, HLA-DR+"
"CD14+, CD16+, HLA-DR+"
"CD14+, CD40+, HLA-DR+"
"CD14+, CD16-, HLA-DR+, SLAN-"
"CD14+, CD16-, HLA-DR+, SLAN+"
"CD14+, CD16-, CX3CR1-, HLA-DR+"
"CD14+, CD16-, CX3CR1+, HLA-DR+"
"CD14+, CD16-, CD86-, HLA-DR+"
"CD14+, CD16-, CD86+, HLA-DR+"
"CD11b-, CD14+, CD16-, HLA-DR+"
"CD11b+, CD14+, CD16-, HLA-DR+"
"CD14+, CD16+, HLA-DR+, SLAN-"
"CD14+, CD16+, HLA-DR+, SLAN+"
"CD14+, CD16+, CX3CR1-, HLA-DR+"
"CD14+, CD16+, CX3CR1+, HLA-DR+"
"CD14+, CD16+, CD86-, HLA-DR+"
"CD14+, CD16+, CD86+, HLA-DR+"
"CD11b-, CD14+, CD16+, HLA-DR+"
"CD11b+, CD14+, CD16+, HLA-DR+"
"CD14-, CD19+, CD3-"
"CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, mDC2"
"CD14-, CD19+, CD27-, CD3-, IgD-"
"B_switched_memory, CD14-, CD19+, CD27+, CD3-, CD86+, IgD-"
"B_naive, CD14-, CD19+, CD27-, CD3-, CD86+, IgD+"
"CD14-, CD19+, CD20-, CD3-, CD38+, CD86+"
"CD14-, CD19+, CD24+, CD3-, CD38+"
"CD14-, CD19+, CD24+, CD3-, CD38+, CD86+"
"CD138+, CD14-, CD19+, CD27+, CD3-, CD86+"
"CD14-, CD19+, CD3-, CD86+"
"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, IgD+"
"CD3+, CD4+, CD8-"
"CD138+, CD14-, CD19+, CD27+, CD3-"
"CD3+, CD4+, CD45RA-, CD8-, CXCR5+"
"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, CD86+, IgD+"
"B_switched_memory, CD14-, CD19+, CD27+, CD3-, IgD-"
"CD14-, CD19+, CD20-, CD3-, CD86+"
"B_naive, CD14-, CD19+, CD27-, CD3-, IgD+"
"CD14-, CD19+, CD20-, CD3-"
"CD14-, CD19+, CD20+, CD3-, CD86+"
"CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, mDC2"
"CD14-, CD19+, CD20-, CD3-, CD38+"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD14-, CD19+, CD27+, CD3-"
"CD14-, CD19+, CD27-, CD3-, CD86+, IgD-"
"CD3+, CD4-, CD8+, HLA-DR+"
"CD14+, CD16-, CD62L+, HLA-DR+"
"CD11c+, CD303-, CD40-, HLA-DR+, Lin1-"
"CD3+, HLA-DR+"
"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"CD14+, CD16-, CD62L-, HLA-DR+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"CD11c-, CD303+, CD40+, HLA-DR+, Lin1-, pDC"
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD16+, CD62L-, gran"
"CD11c+, CD141+, CD1c-, CD303-, CD40-, HLA-DR+, Lin1-, mDC2"
"CD11c-, CD303+, CD40-, HLA-DR+, Lin1-, pDC"
"CD11c+, CD141+, CD1c-, CD303-, CD40+, HLA-DR+, Lin1-, mDC2"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"CD11c+, CD141-, CD1c+, CD303-, CD40+, HLA-DR+, Lin1-, mDC1"
"CD11c+, CD303-, CD40+, HLA-DR+, Lin1-"
"CD14+, CD16+, CD62L+, HLA-DR+"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"CD11c+, CD141-, CD1c+, CD303-, CD40-, HLA-DR+, Lin1-, mDC1"
"CD14+, CD16+, CD62L-, HLA-DR+"
"CD3+, CD4+, CD8-, HLA-DR+"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"CD19+, CD20-, CD45+, lymphocyte, singlet"
"plasma_cell, plasmablast"
"CD138+, CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet"
"CD19+, CD20-, CD27+, CD38+, CD45+, lymphocyte, singlet"
"B_naive, CD19+, CD20+, CD27-, CD45+, IgD+, lymphocyte, singlet"
"CD19+, CD20-, CD27+, CD45+, lymphocyte, singlet"
"B_switched_memory, CD19+, CD20+, CD27+, CD45+, IgD-, lymphocyte, singlet"
"CD19+, CD20+, CD24+, CD38+, CD45+, lymphocyte, singlet"
"CD19+, CD20+, CD45+, lymphocyte, singlet"
"CD45+, singlet"
"CD19+, CD45+, lymphocyte, singlet"
"CD3+, CD4+, CD45+"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"CD3+, CD4+, CD45RA-, CXCR5-, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, lymphocyte, singlet, WBC"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"CD3+, CD4+, CD45RA-, CXCR5-, ICOS+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, lymphocyte, singlet, WBC"
"CD3+, CD4+, CD45RA-, CXCR5+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+, lymphocyte, singlet, WBC"
"B_switched_memory, CD19+, CD27+, CD86+, IgD-, lymphocyte, singlet, WBC"
"B_switched_memory, CD19+, CD27+, IgD-, lymphocyte, singlet, WBC"
"B_unswitched_memory, CD19+, CD27+, CD86+, IgD+, lymphocyte, singlet, WBC"
"B_unswitched_memory, CD19+, CD27+, IgD+, lymphocyte, singlet, WBC"
"CD19+, CD20-, CD86+, lymphocyte, singlet, WBC"
"CD19+, CD20-, lymphocyte, singlet, WBC"
"CD19+, CD20+, CD86+, lymphocyte, singlet, WBC"
"CD19+, CD20+, lymphocyte, singlet, WBC"
"B_naive, CD19+, CD27-, CD86+, IgD+, lymphocyte, singlet, WBC"
"B_naive, CD19+, CD27-, IgD+, lymphocyte, singlet, WBC"
"CD19+, CD27-, IgD-, lymphocyte, singlet, WBC"
"CD19+, CD27-, CD86+, IgD-, lymphocyte, singlet, WBC"
"CD19+, CD20-, CD38+, lymphocyte, singlet, WBC"
"CD19+, CD20-, CD38+, CD86+, lymphocyte, singlet, WBC"
"CD19+, CD24+, CD38+, lymphocyte, singlet, WBC"
"CD19+, CD24+, CD38+, CD86+, lymphocyte, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD3+, CD8+, EM"
"CD3+, CD4+, CD45RA-, CXCR5+"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+"
"HLA-DR+, Lin1-"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3+, CXCR5+, ICOS+"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+"
"CCR6+, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+"
"CCR6-, CD3+, CD4+, CD45RA-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CD45RA-, CXCR5+, ICOS+"
"CD3+, CD8+"
"CD3+, CD8+, CM"
"CD3+, CD8+, TEMRA"
"CD3+, CD8+, naive"
"CD3+, CD4+, TEMRA"
"CD3+, CD4+, CM"
"CD14+, CX3CR1+, HLA-DR+"
"CD3+, CD4+, EM"
"CD14+, SLAN+"
"CD16+, neutro"
"CD3+, CD4+"
"CD3+, CD4+, naive"
"CD3+, CD4+, CD45+, ICOS+"
"CD303+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"CD1c+, CD4+, CD45RA+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"CD2-, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"CD2+, CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"CD303+, HLA-DR+, Lin2-, lymphocyte, monocyte, pDC, WBC"
"CD19+, CD20+, WBC"
"CD3+, CD4+, CD45+, EM"
"CD3+, CD4+, CD45+, CM"
"CD3+, CD45+"
"B_unswitched_memory, CD19+, CD27+, IgD+, WBC"
"CD19+, n+, transitional+, WBC"
"CD19+, CD27+, nPlasmacell+, WBC"
"CD45+, gran, neutro, WBC"
"CD11b+, CD16+, CD45+, CD62L+, gran, neutro, WBC"
"CD11b+, CD16+, CD45+, CD62L-, gran, neutro, WBC"
"CD11b+, CD16+, CD45+, gran, neutro, WBC"
"lymphocyte, monocyte, WBC"
"CD14+, CD16+, lymphocyte, monocyte, WBC"
"CD11b+, CD14+, CD16+, lymphocyte, monocyte, WBC"
"CD14+, CD16+, CD40+, lymphocyte, monocyte, WBC"
"CD14+, CD16+, CD62L+, lymphocyte, monocyte, WBC"
"CD14+, CD16+, CD86+, lymphocyte, monocyte, WBC"
"CD14+, CD16-, lymphocyte, monocyte, WBC"
"CD11b+, CD14+, CD16-, lymphocyte, monocyte, WBC"
"CD14+, CD16-, CD40+, lymphocyte, monocyte, WBC"
"CD14+, CD16-, CD62L+, lymphocyte, monocyte, WBC"
"CD14+, CD16-, CD86+, lymphocyte, monocyte, WBC"
"CD14-, CD16-, lymphocyte, monocyte, WBC"
"CD19+, WBC"
"CD3+, CD4+, CD45+, TFH"
"CD19+, CD27+, WBC"
"CD19+, CD27+, plasmablast, WBC"
"CD3+, CD4+, CD45+, naive"
"CD3+, CD4+, CD45+, TFH1"
"CD3-, CD56+, lymphocyte"
"CD3+, CD4+, CD45+, ICOS+, non+, TFH17"
"CD3+, CD4+, CD45+, ICOS+, non+, TFH2"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, TFH"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, TFH"
"CD3+, CD45+, CD8+"
"CD3+, CD45+, CD8+, ICOS+"
"CD1c+, CD2-, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"CD16+, CD3-, CD56+, lymphocyte"
"CD16+, CD3-, CD56-, lymphocyte"
"CD3+, CD4+, CD45+, non+, TFH1"
"CD1c+, CD2+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"CD1c+, HLA-DR+, Lin2-, lymphocyte, mDC1, monocyte, WBC"
"CD123+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC"
"CD11c+, HLA-DR+, Lin2-, lymphocyte, monocyte, WBC"
"CD25+, CD3+, CD8+, lymphocyte"
"CD3+, CD8+, CTLA4+, lymphocyte"
"CD3+, CD4+, CD45+, ICOS+, TFH1"
"CD3+, CD8+, FoxP3+, lymphocyte"
"CD3+, CD4+, CD45+, ICOS+, non+, TFH1"
"CD16-, CD3-, CD56+, lymphocyte"
"CD3+, CD4+, CD45+, TFH17"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, TFH"
"CD25+, CD3+, CD4+, lymphocyte"
"CD3+, CD4+, CTLA4+, lymphocyte"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, TFH"
"CD3+, CD4+, CD45+, ICOS+, TFH17"
"CD3+, CD4+, CD45+, Teff+"
"CD3+, CD4+, CD45+, non+, TFH"
"CD3+, CD4+, CD45+, ICOS+, TFH"
"CD3+, CD4+, CD45+, ICOS+, TFH2"
"CD3+, CD4+, FoxP3+, lymphocyte"
"CD3+, CD4+, CD45+, TFH2"
"CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"CD14+, CD16+, CD86+, monocyte, singlet, WBC"
"HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD14+, CD16+, CD62L+, CD86+, monocyte, singlet, WBC"
"CD14+, CD16+, CD40+, CD86+, monocyte, singlet, WBC"
"CD14+, CD16-, CD86+, monocyte, singlet, WBC"
"CD3+, CD8+, Ki67+, lymphocyte"
"CD11b+, CD14+, CD16-, CD86+, monocyte, singlet, WBC"
"CD14+, CD86+, monocyte, singlet, WBC"
"CD11b-, CD16+, CD45+, gran, neutro, singlet, WBC"
"CD11b-, CD16-, CD45+, gran, neutro, singlet, WBC"
"CD14+, CD16-, CD62L+, CD86+, monocyte, singlet, WBC"
"CD3+, CD4+, CD45+, singlet, Teff+"
"CD3+, CD4+, CD45+, non+, singlet, TFH"
"CD3+, CD4+, CD45+, non+, singlet, TFH1"
"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH1"
"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH17"
"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH2"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, singlet, TFH"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, singlet, TFH"
"CD3+, CD45+, CD8+, singlet"
"CD3+, CD45+, CD8+, CM, singlet"
"CD3+, CD45+, CD8+, EM, singlet"
"CD3+, CD45+, CD8+, ICOS+, singlet"
"CD3+, CD45+, CD8+, naive, singlet"
"CD3+, CD45+, CD8+, singlet, Teff+"
"CD45+, gran, neutro, singlet, WBC"
"CD11b+, CD16-, CD45+, gran, neutro, singlet, WBC"
"CD11b+, CD16+, CD45+, gran, neutro, singlet, WBC"
"CD14+, CD16-, CD40+, CD86+, monocyte, singlet, WBC"
"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte"
"CD3+, CD8+, lymphocyte, naive"
"B_switched_memory, CD19+, CD27+, IgD-, singlet, WBC"
"CD19+, CD20-, singlet, WBC"
"B_unswitched_memory, CD19+, CD27+, IgD+, singlet, WBC"
"CD19+, CD27+, plasmablast, singlet, WBC"
"CD19+, CD27+, plasma_cell, singlet, WBC"
"CD19+, CD27+, singlet, WBC"
"CD19+, CD20+, singlet, WBC"
"B_naive, CD19+, CD27-, IgD+, singlet, WBC"
"CD19+, nCD19+, singlet, WBC"
"CD86+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD19+, n+, singlet, transitional+, WBC"
"CD19+, singlet, WBC"
"CD14+, CD14-, CD16-, CD86+, monocyte, singlet, WBC"
"CD86-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD14+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD14-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD11b+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD11b-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CD2+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, singlet, TFH"
"CD19+, CD27-, IgD-, singlet, WBC"
"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, singlet, TFH"
"CD127+, CD25+, CD3+, CD4+, CD45+, singlet"
"CD3+, CD4+, CD45+, ICOS+, singlet, TFH"
"CD3+, CD4+, CD45+, ICOS+, singlet, TFH2"
"bcl2+, CD3+, CD8+, lymphocyte"
"bcl2+, CD3+, CD4+, lymphocyte"
"CD3+, CD4+, lymphocyte, naive"
"bcl2+, CD3+, CD4+, Ki67+, lymphocyte"
"CD2-, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"CD2+, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC"
"CD141+, CD2-, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC"
