Normalized_Definition,Intermediate_Population
"CD11c+, CD2-, CD303-, HLA-DR+, Lin1-",Unclassified / Potential Error
"CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CD11c+, CD2+, CD303-, HLA-DR+, Lin1-",Unclassified / Potential Error
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+",CD4+ T cells (Other)
"CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD3+, CD4+, CD8-, ICOS+",CD4+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1",Myeloid DCs type 1 (mDC1)
"CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CD3+, CD4-, CD8+",CD8+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD11c+, CD303-, CD86+, HLA-DR+, Lin1-",Unclassified / Potential Error
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-",CD4+ T cells (Other)
"CD14+, HLA-DR+",Unclassified / Potential Error
"CD3+, CD4+, CD45RA-, CD8-, CXCR5-",CD4+ T cells (Other)
"CD3+, CD4-, CD8+, ICOS+",CD8+ T cells (Other)
"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD3+, CD4-, CD8+, CXCR5+",CD8+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+",CD4+ T cells (Other)
SLAN+,Unclassified / Potential Error
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+",CD4+ T cells (Other)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CD3+, CD4-, CD8+, CXCR3+",CD8+ T cells (Other)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+",CD4+ T cells (Other)
"CD11c+, CD303-, CD86-, HLA-DR+, Lin1-",Unclassified / Potential Error
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+",CD4+ T cells (Other)
"CCR6+, CD3+, CD4-, CD8+",CD8+ T cells (Other)
"CD3+, ICOS+",T cells (Unspecified Subtype)
"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-",CD4+ T cells (Other)
"CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, pDC",Plasmacytoid DCs (pDC)
"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+",CD4+ T cells (Other)
"CD14-, CD19+, CD20+, CD3-",B cells (Other)
"CD16-, gran",Granulocytes
"CD16+, gran",Granulocytes
"CD14+, CD16-, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16+, HLA-DR+",Unclassified / Potential Error
"CD14+, CD40+, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16-, HLA-DR+, SLAN-",Unclassified / Potential Error
"CD14+, CD16-, HLA-DR+, SLAN+",Unclassified / Potential Error
"CD14+, CD16-, CX3CR1-, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16-, CX3CR1+, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16-, CD86-, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16-, CD86+, HLA-DR+",Unclassified / Potential Error
"CD11b-, CD14+, CD16-, HLA-DR+",Unclassified / Potential Error
"CD11b+, CD14+, CD16-, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16+, HLA-DR+, SLAN-",Unclassified / Potential Error
"CD14+, CD16+, HLA-DR+, SLAN+",Unclassified / Potential Error
"CD14+, CD16+, CX3CR1-, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16+, CX3CR1+, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16+, CD86-, HLA-DR+",Unclassified / Potential Error
"CD14+, CD16+, CD86+, HLA-DR+",Unclassified / Potential Error
"CD11b-, CD14+, CD16+, HLA-DR+",Unclassified / Potential Error
"CD11b+, CD14+, CD16+, HLA-DR+",Unclassified / Potential Error
"CD14-, CD19+, CD3-",B cells (Other)
"CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, mDC2",Myeloid DCs type 2 (mDC2)
"CD14-, CD19+, CD27-, CD3-, IgD-",B cells (Other)
"B_switched_memory, CD14-, CD19+, CD27+, CD3-, CD86+, IgD-",Memory B cells
"B_naive, CD14-, CD19+, CD27-, CD3-, CD86+, IgD+",Naive B cells
"CD14-, CD19+, CD20-, CD3-, CD38+, CD86+",B cells (Other)
"CD14-, CD19+, CD24+, CD3-, CD38+",B cells (Other)
"CD14-, CD19+, CD24+, CD3-, CD38+, CD86+",B cells (Other)
"CD138+, CD14-, CD19+, CD27+, CD3-, CD86+",B cells (Other)
"CD14-, CD19+, CD3-, CD86+",B cells (Other)
"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, IgD+",Memory B cells
