Population Definition Reported,count
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",303
"CD3+, CD4-, CD8+",303
"CD3+, CD4-, CD8+, CXCR3+",303
"CD3+, CD4-, CD8+, CXCR5+",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",303
"CD3+, CD4-, CD8+, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",303
"CD14+, HLA-DR+, CD16-, CX3CR1-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",303
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",303
"CD14+, HLA-DR+",303
"CD14+, HLA-DR+, CD40+",303
"CD14lo, HLA-DR+, CD16+",303
"CD14+, HLA-DR+, CD16+",303
"CD14+, HLA-DR+, CD16-",303
"CD14lo, HLA-DR+, CD16-",303
"CD14+, HLA-DR+, CD16-, CX3CR1+",303
"CD14+, HLA-DR+, CD16+, CX3CR1+",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",303
"CD19+, CD3-, CD14-, CD27+, IgD-",303
"CD19+, CD3-, CD14-",303
"CD19+, CD3-, CD14-, CD27+",303
"CD19+, CD3-, CD14-, CD27+, CD138+",303
"CD19+, CD3-, CD14-, CD38+, CD20-",303
"CD19+, CD3-, CD14-, CD38+, CD24+",303
"CD19+, CD3-, CD14-, CD27-, IgD+",303
"CD19+, CD3-, CD14-, CD27+, IgD+",303
"CD19+, CD3-, CD14-, CD27-, IgD-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",303
"CD19+, CD3-, CD14-, CD20+",303
"CD19+, CD3-, CD14-, CD20-",303
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",303
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",303
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",303
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",303
"CD14+, HLA-DR+, CD16+, CX3CR1-",303
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",303
"CD14+, HLA-DR+, CD16-, CD11b+",303
SLAN+,303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",303
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",303
"CD14+, HLA-DR+, CD16+, CD11b+",303
