Population Definition Reported,Normalized_Definition
"Singlets/WBC/Lymph/CD3,Freq. of,Lymph","CD3+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/ICOS+,Freq. of Parent","CD3+, ICOS+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/DR,Freq. of Parent","CD3+, HLA-DR+, lymphocyte, singlet, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1-17,Freq. of,TH","CD3+, CD4+, lymphocyte, singlet, TH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/1,Freq. of,TH","CD3+, CD4+, lymphocyte, singlet, TH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/17,Freq. of,TH","CD3+, CD4+, lymphocyte, singlet, TH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/17/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/17/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/2,Freq. of,TH","CD3+, CD4+, lymphocyte, singlet, TH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/2/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TH/2/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH","CD3+, CD4+, lymphocyte, singlet, TFH2, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH","CD3+, CD4+, lymphocyte, singlet, TFH1, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH","CD3+, CD4+, lymphocyte, singlet, TFH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent","CD3+, CD4+, HLA-DR+, lymphocyte, singlet, TFH1-17, WBC"
"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent","CD3+, CD4+, ICOS+, lymphocyte, singlet, TFH1-17, WBC"
